ID,SMILES
ZINC000237115263,CC[C@](C)(CC(=O)O)NC(=O)[C@@H]1CC(=O)N(CC(F)(F)F)C1
ZINC000085557253,Cc1cc(C(=O)N2CCC(Oc3cnccn3)CC2)c(C)o1
ZINC000012543485,COc1ccc([C@H]2NC(=O)c3ccccc3N2C)cc1C
ZINC000426572999,CCc1nccn1CCC(=O)N[C@@H](C(=O)O)c1ccccc1
ZINC000028016162,CC(=O)c1ccc(C(=O)NC[C@@H]2CN(CC(C)C)CCO2)s1
ZINC000091745808,CCCn1ccnc1CN1C[C@@H](NC(=O)N(C)C)[C@H](C(C)C)C1
ZINC000147467250,COC(=O)CCOCc1cccc(Br)c1
ZINC000328586282,CCCOCC(=O)N1C[C@H]2CCC[C@]2(c2nc(C(C)C)no2)C1
ZINC000069439553,COc1ccccc1C(C)(C)NC(=O)CS(=O)(=O)C1CCCC1
ZINC000069486005,O[C@H](C[N@H+]1CC[C@@H](C[NH2+]C2CCCC2)CC1)c1ccccc1
ZINC000020736832,COc1ccccc1N1CCn2c(nc3cc(C(N)=O)ccc32)C1
ZINC000006800745,COC(=O)c1ccccc1S(=O)(=O)Nc1cccc(O)c1
ZINC000299772556,Cc1nnnn1-c1ccc(NC(=O)N(C)[C@H]2CC[N@@H+](C)C2)cc1
ZINC000009627315,Clc1ccccc1-n1ncc2c(N3CCOCC3)ncnc21
ZINC000011474421,CCc1nnc(NC(=O)C[C@H](NC(C)=O)c2ccc(C)cc2)s1
ZINC000299743481,C[C@@H](Oc1ccccc1C#N)C(=O)N[C@]1(C(=O)O)CCSC1
ZINC000124504284,Cc1c(CC(=O)N(C)C[C@H](C)c2nnn[nH]2)cccc1[N+](=O)[O-]
ZINC000072243364,CCn1cc(NC(=O)c2ccc3[nH]c(C(F)(F)F)nc3c2)cn1
ZINC000238029236,O=C(O)[C@H]1Cc2ccccc2CN1C(=O)COCC(F)(F)F
ZINC000106992250_1,Cc1cc(N2CC[N@H+](C3CCCCC3)[C@@H](CCO)C2)nc(N)n1
ZINC000069350832,O=C(NCCC(=O)N1CCCC1)Nc1cccc2cccnc12
ZINC000067834094,C[C@@H](c1ccccn1)N(C)C(=O)Cn1c(=O)oc2ccccc21
ZINC000095949070,CC(=O)N[C@@H](CC(=O)N(C)Cc1c(C)noc1C)c1ccccc1
ZINC000328968880,Fc1cccc(Nc2cc(C3CC3)nc(NC3CCCC3)n2)c1
ZINC000075092445,C=CCOc1ccccc1CNC(=O)N1CC[C@@](O)(C(F)(F)F)C1
ZINC000328594616,O=C(Cn1cc([N+](=O)[O-])cn1)NCc1ccncc1C(F)(F)F
ZINC000012773504,Cc1cc(F)ccc1S(=O)(=O)N[C@@H](C)c1ccccn1
ZINC000253407607,COC1CN(c2ccc(NC(=O)/C=C/c3ccccc3)cc2)C1
ZINC000014240917,C=CCNC(=O)NC(=O)CN(CC=C)Cc1ccc(Cl)s1
ZINC000097084703,O=C(N1CCc2cnccc21)C1(c2ccc(F)cc2)CC1
ZINC000028266169,COc1ccccc1NC(=O)c1cc(-c2ccco2)[nH]n1
ZINC000032966772,C=CCN(C(=O)CN1CSCC1=O)c1nc2c(s1)CCCC2
ZINC000096484090,Cc1noc(C)c1[C@H](C)CC(=O)N1CCSc2ccncc21
ZINC000053641284,Cc1cc(C(=O)N(C)Cc2ccc([C@H]3C[C@@H]3C)o2)no1
ZINC000078818961,CCN(CC)C(=O)[C@@H](c1ccccc1)S(=O)(=O)c1ncc[nH]1
ZINC000072161778,Cn1ncc2c(N[C@@H]3CCc4cccnc43)nc(-c3cccnc3)nc21
ZINC000063178036,COc1cccc(NC(=S)NCc2c(C)noc2C)c1
ZINC000057137863,O=C(CNC(=O)[C@H]1CCC[N@@H+](Cc2ccccc2)C1)NC1CC1
