IDs,smiles,clusters
ZINC000008765006,O=C(NCCc1c[nH]c2ccccc12)[C@H]3COc4ccccc4O3,0
ZINC000218845210,O=C(N[C@@H]1CCOC[C@H]1OCc2ccccn2)c3ccoc3,0
ZINC000089652307,Cc1ccc(OCC(=O)c2ccc3c(c2)CCC(=O)N3)nc1,0
ZINC000000537157,COc1ccccc1NC(=O)C[C@@H]2NCCNC2=O,0
ZINC000244986190,O=C(NCc1ccco1)c2ccc(OCC3CCOCC3)nc2,0
ZINC000225509730,COc1ccc(CCNC(=O)[C@H]2CCc3[nH]cnc3C2)cc1,0
ZINC000071810143,O=C(NCCCOc1ccccc1F)c2ccccn2,0
ZINC000021965511,Cc1cccc(OCCCNC(=O)c2ccccn2)c1,0
ZINC000012298924,CC(=O)NCCC(=O)NCc1cccnc1Oc2ccccc2C,0
ZINC000192721232_1,C[C@H]1C[N@@H+](CCN2CCN(C(=O)Cc3ccccc3)CC2)CCO1,1
ZINC000084636652_1,C[C@H](NC(=O)CC1CCCCC1)[C@@H]2C[N@@H+](C)CCO2,1
ZINC000051375283,C[C@@H](NC(=O)CCCOCc1ccccc1)C(=O)N2CCCCC2,1
ZINC000095417027,C[NH+]1CCN(C(C)(C)C(=O)NC[C@H](O)Cc2ccccc2)CC1,1
ZINC000069877571,COCC[NH+]1CCN([C@@H](C)C(=O)NCCc2ccccc2)CC1,1
ZINC000058174906_1,C[C@H]1C[NH+](C[C@H]2CCCN2CC(=O)NCc3ccccc3)C[C@H](C)O1,1
ZINC000025833245,C[C@H]1CN(CC(=O)N[C@@H](C)c2ccccc2)CCO1,1
ZINC000039987688,COC(=O)CCCNC(=O)C[N@H+]1CC[C@H](Cc2ccccc2)CC1,1
ZINC000408518964,Cc1cccc(CNC(=O)CN2CCC([N@@H+]3CCOC[C@H]3C)CC2)c1,1
ZINC000071864238,C[C@@H](O)C[N@@H+]1CCN(CC(=O)NCCCc2ccccc2)C[C@H]1C,1
ZINC000022687793,Cc1cccc(C(=O)NC[C@@H](c2cccs2)N(C)C)c1,2
ZINC000222925717,Cc1ccc(C(=O)NCc2csc(N(C)C)n2)s1,2
ZINC000097112114,Cc1csc([C@H](C)NCc2cccc(C(=O)N(C)C)c2)n1,2
ZINC000030657791,Cc1cccc2nc(C(=O)N(C)Cc3nc4ccccc4[nH]3)cn12,2
ZINC000040060561,Cc1cc(NCc2ccc(C(=O)N(C)C)cc2)nc(C)n1,2
ZINC000015860087,Cc1ccc(C(=O)NC[C@@H](c2ccc(C)o2)N(C)C)cc1,2
ZINC000065505323,Cc1cccc([C@H](C(=O)NCc2cnc(C)cn2)N(C)C)c1,2
ZINC000010215698,COC(=O)c1ccc(CNC(=O)c2ccc(C)n2C)cc1,2
ZINC000253414332,Cc1ccc(C)n1CC(=O)N[C@@H](c2ccccc2)c3nccn3C,2
ZINC000000264130,Cc1ccc(NC(=O)Cn2cc(C=O)c3ccccc32)cc1,2
ZINC000000111363,O=S(=O)(c1c(F)cccc1F)N2CCOCC2,3
ZINC000184917149,COCCCCS(=O)(=O)N1CCC[C@H](C)[C@H]1C,3
ZINC000016399659,O=Cc1cccc(S(=O)(=O)N2CCOCC2)c1,3
ZINC000253370846,CCCCCS(=O)(=O)N1C[C@@H]2OCCN(C)[C@H]2C1,3
ZINC000030581828,O=S(=O)(c1ccc2c(c1)OCCO2)N3CCOc4ccccc43,3
ZINC000044896250,C[C@H]1CN(S(=O)(=O)N2CCOCC2)CCO1,3
ZINC000071915808,COc1ccccc1[C@@H]2CCN(S(=O)(=O)c3cccs3)C2,3
ZINC000096098233,COc1ccc(S(=O)(=O)N2CCC(S(C)(=O)=O)CC2)cc1C,3
ZINC000062119726,Cc1cccc(S(=O)(=O)N2CC[C@H](C(=O)O)C2)c1,3
